isbn|name|category|writer|publisher|first_pub_date|page_count
9789754700671|Bir Bilim Adamının Romanı|Roman|Oğuz Atay|İletişim Yayıncılık|1987|280
9789752104037|Da Vinci Şifresi|Roman|Dan Brown|Altın Kitaplar|2003|495
9789756006054|Olasılıksız|Roman|Adam Fawer|April Yayıncılık|2018|475
9789750725050|Güneşi Uyandıralım|Roman|Jose Mauro De Vasconcelos|Can Çocuk Yayınları|2000|256
9789751416575|Kral Kaybederse|Roman|Gülseren Budayıcıoğlu|Remzi Kitabevi|2015|384
9789755708409|Kabuk|Roman|Zeynep Kaçar|Sel Yayıncılık|2017|173
9789752119277|O|Roman|Stephen King|Altın Kitaplar|2000|1216
9786053609902|Bir İdam Mahkumunun Son Günü-Hasan|Roman|Victor Hugo|İş Bankası Kültür Yayınları|2013|136
9786051850412|Ben Bir Gürgen Dalıyım|Roman|Hasan Ali Toptaş|Everest Yayınları|2016|160
9786051852782|Aeden|Roman|Akilah Azra Kohen|Everest Yayınları|2018|584
9789753429986|Uzun Yürüyüş|Roman|Ayhan Geçgin|Metis Yayıncılık|2015|160
9786055903732|Bir At Bara Girmiş|Roman|David Grossman|Siren Yayınları|2015|216
9789752112438|Dijital Kale|Roman|Dan Brown|Altın Kitaplar|2010|400
9786054927579|Bilinmeyen Adanın Öyküsü|Roman|Jose Saramago|Kırmızı Kedi|2017|64
9789754055856|Medyum|Roman|Stephen King|Altın Kitaplar|2000|400
9789752894846|Bin Muhteşem Güneş|Roman|Khaled Hosseini|Everest Yayınları|2008|430
9786053325949|Köpek Kalbi|Roman|Mihayl Afanasyeviç Bulgakov|İş Bankası Kültür Yayınları|2015|136
9786052361825|Karantina İkinci Perde|Roman|Beyza Alkoç|İndigo Kitap|2018|352
9789752201682|Yaşlı Adam ve Deniz|Roman|Ernest Hemingway|Bilgi Yayınevi|2006|136
9789752123748|İlahi Komedya Seti-3 Kitap Takım Özel Kutulu|Roman|Dante Alighieri|Altın Kitaplar|2018|0
9789750805561|Bozkırkurdu|Roman|Hermann Hesse|Yapı Kredi Yayınları|2003|218
9786051410036|Uyumsuz Defne Kaman'ın Maceraları-Su|Roman|Buket Uzuner|Everest Yayınları|2012|344
9789750724787|Delifişek|Roman|Jose Mauro De Vasconcelos|Can Çocuk Yayınları|2013|88
9786051920092|Her Şeyi Bitirmeyi Düşünüyorum|Roman|Iain Reid|Hep Kitap|2016|184
9786053325956|Muhteşem Gatsby|Roman|F. Scott Fitzgerald|İş Bankası Kültür Yayınları|2015|184
9789750803116|Harry Potter ve Azkaban Tutsağı - 3.kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2006|396
9786053758358|Bu Ölümsüz|Roman|Roger Zelazny|İthaki Yayınları|2018|208
9786053758037|Tolkien Mirası Seti-5 Kitap Takım Kutulu|Roman|J.R.R. Tolkien|İthaki Yayınları|2018|1336
9786059144971|Kendine Ait Bir Oda|Roman|Virginia Woolf|İndigo Kitap|2017|160
9786050929812|İmkansızın Şarkısı|Roman|Haruki Murakami|Doğan Kitap|2004|352
9786053757986|İkinci Vakıf-Vakıf Serisi|Roman|Isaac Asimov|İthaki Yayınları|2018|272
9789750722486|Zorba|Roman|Nikos Kazancakis|Can Yayınları|2000|335
9786051113869|Sahilde Kafka|Roman|Haruki Murakami|Doğan Kitap|2009|656
9786053328926|Ermişin Bahçesi|Roman|Halil Cibran|İş Bankası Kültür Yayınları|2016|56
